Date,Year,Month,Quarter,Season,Salesperson,SaleType,Region,Product_Line,Performance_Level,Incident_Impact_Category,Incident_Type,Economic_Index,Marketing_Budget,Lead_Generation,Sales_Volume,Revenue,Customer_Satisfaction,Training_Hours,Market_Competition,Profit_Margin,Incident_Impact,Incident_Description,Price,Salesperson_Skill,Product_Tier,Employee_ID,Office_Temperature,Random_Factor,SaleType_Numeric,Region_Numeric
2019-08-01,2019,8,3,Summer,Alice,Buyout,East,Standard,Low,Neutral,none,105.42,67493.97,175.71,567.42,682558.35,6.97,35.15,3.55,0.39,0.0,,1202.91,1,2,6088,68.0,1.21,1,1
2023-06-01,2023,6,2,Summer,Alice,Buyout,East,Standard,Low,Neutral,none,112.21,83900.62,155.69,570.53,842831.88,5.37,34.64,3.87,0.33,0.0,,1477.28,1,2,6244,76.66,0.5,1,1
2023-01-01,2023,1,1,Winter,Charlie,Buyout,West,Premium,Medium,Neutral,none,115.7,63100.03,187.24,819.57,991789.99,8.65,46.89,3.38,0.45,0.0,,1210.14,3,3,5044,74.32,1.75,1,4
2023-01-01,2023,1,1,Winter,David,Subscription,North,Standard,Medium,Neutral,none,112.55,50078.78,169.21,769.9,114230.79,8.56,48.97,3.45,0.37,0.0,,148.37,4,2,8182,72.51,0.19,0,2
2020-01-01,2020,1,1,Winter,Eve,Buyout,West,Premium,Medium,Neutral,enterprise_budget_cuts,111.54,48360.4,160.81,695.09,1145033.57,8.74,45.3,3.55,0.37,-0.1,Enterprise Budget Cuts (-20%),1647.32,5,3,2084,76.16,0.23,1,4
2016-04-01,2016,4,2,Spring,David,Buyout,West,Standard,Medium,Negative,product_recall,104.78,57165.0,171.03,659.33,1135471.65,7.82,41.1,2.56,0.26,-0.17,Product Recall (-25%),1722.15,4,2,5825,69.27,-0.2,1,4
2022-11-01,2022,11,4,Fall,Bob,Subscription,West,Standard,Medium,Neutral,none,108.14,57704.71,166.58,615.27,80409.55,6.13,50.07,3.9,0.25,0.0,,130.69,2,2,9335,68.98,-2.36,0,4
2024-01-01,2024,1,1,Winter,Charlie,Buyout,East,Basic,Medium,Neutral,partnership_deal,115.78,66803.3,204.37,871.73,1257264.53,6.23,47.22,3.6,0.29,0.05,Partnership Deal (+18%),1442.27,3,1,6265,72.46,0.26,1,1
2020-03-01,2020,3,1,Spring,Eve,Subscription,South,Standard,Medium,Negative,pandemic_impact,114.57,63129.11,214.2,650.0,86645.0,7.21,43.54,2.75,0.1,-0.35,Pandemic Impact (-35%),133.3,5,2,2292,70.33,0.2,0,3
2015-07-01,2015,7,3,Summer,Alice,Buyout,North,Standard,Low,Neutral,none,94.88,57889.8,151.91,524.94,622357.88,6.69,28.29,3.24,0.36,0.0,,1185.59,1,2,3315,75.72,-1.16,1,2
2021-07-01,2021,7,3,Summer,David,Subscription,South,Basic,Medium,Negative,supply_shortage,101.93,72235.95,212.37,785.12,66067.56,7.54,60.32,4.06,0.17,-0.14,Supply Shortage (-18%),84.15,4,1,8391,78.0,-0.67,0,3
2021-02-01,2021,2,1,Winter,Alice,Subscription,West,Basic,Low,Neutral,none,112.9,58305.54,151.29,455.05,83910.54,7.62,54.7,2.81,0.14,0.0,,184.4,1,1,6662,75.3,1.03,0,4
2020-12-01,2020,12,4,Winter,Eve,Buyout,West,Basic,Medium,Neutral,none,108.44,52121.84,169.7,859.64,1515287.61,7.87,40.45,3.74,0.34,0.0,,1762.71,5,1,6295,72.97,-1.32,1,4
2024-12-01,2024,12,4,Winter,Alice,Buyout,South,Standard,Low,Neutral,none,113.8,66390.07,163.43,562.76,757314.47,6.72,54.71,3.45,0.31,0.0,,1345.72,1,2,1378,72.17,-0.01,1,3
2015-12-01,2015,12,4,Winter,Alice,Buyout,South,Standard,Low,Neutral,none,102.46,40073.33,119.47,428.96,793906.93,6.65,29.01,3.54,0.31,0.0,,1850.75,1,2,2330,76.98,0.87,1,3
2018-06-01,2018,6,2,Summer,David,Subscription,South,Premium,High,Neutral,none,105.37,66923.89,205.41,949.31,69195.03,8.07,47.77,3.53,0.4,0.0,,72.89,4,3,6774,72.23,-1.09,0,3
2018-12-01,2018,12,4,Winter,Charlie,Subscription,West,Basic,Low,Negative,economic_downturn,103.37,46506.53,179.29,577.1,79160.24,6.98,35.92,2.77,0.09,-0.2,Economic Downturn (-20%),137.17,3,1,3919,73.72,0.1,0,4
2021-06-01,2021,6,2,Summer,Bob,Buyout,West,Premium,Low,Negative,supply_shortage,104.35,79358.7,170.29,554.33,607291.34,7.45,54.86,3.94,0.28,-0.18,Supply Shortage (-18%),1095.54,2,3,1517,69.01,0.39,1,4
2022-06-01,2022,6,2,Summer,Eve,Buyout,North,Standard,High,Neutral,none,110.03,70464.81,208.56,981.84,1109727.37,7.21,42.53,3.45,0.33,0.0,,1130.25,5,2,3331,70.48,0.88,1,2
2017-03-01,2017,3,1,Spring,David,Subscription,North,Standard,High,Neutral,subscription_platform_upgrade,110.06,64890.42,193.95,917.31,52708.38,8.07,35.77,2.51,0.36,0.05,Subscription Platform Upgrade (+10%),57.46,4,2,7884,73.5,0.3,0,2
2016-09-01,2016,9,3,Fall,Eve,Subscription,West,Standard,High,Neutral,none,95.72,45261.27,199.29,910.73,87967.11,8.45,38.87,3.69,0.28,0.0,,96.59,5,2,1955,75.56,0.47,0,4
2020-01-01,2020,1,1,Winter,Eve,Subscription,South,Standard,Medium,Neutral,none,110.06,50079.97,171.39,841.93,100526.02,6.97,43.87,3.83,0.31,0.0,,119.4,5,2,7871,71.43,-0.48,0,3
2022-08-01,2022,8,3,Summer,David,Buyout,South,Premium,Medium,Negative,south_region_competition,107.01,74126.21,208.29,837.17,900647.9,7.62,55.87,4.15,0.28,-0.15,South Region Competition (-15%),1075.82,4,3,6775,73.45,0.43,1,3
2017-10-01,2017,10,4,Fall,Charlie,Subscription,North,Standard,Low,Negative,competitor_launch,96.64,53479.44,153.03,528.63,86452.81,8.21,36.15,3.31,0.24,-0.13,Competitor Launch (-15%),163.54,3,2,1455,68.94,0.8,0,2
2022-06-01,2022,6,2,Summer,Charlie,Subscription,West,Standard,Medium,Negative,subscription_churn_crisis,111.75,69331.8,197.12,720.1,52027.39,8.04,51.62,3.77,0.19,-0.11,Subscription Churn Crisis (-16%),72.25,3,2,8167,73.27,-1.38,0,4
2018-07-01,2018,7,3,Summer,Charlie,Buyout,North,Basic,Medium,Neutral,none,105.27,60251.59,194.14,724.88,1127870.17,6.9,39.58,3.22,0.31,0.0,,1555.93,3,1,9433,75.3,0.46,1,2
2018-07-01,2018,7,3,Summer,David,Subscription,North,Basic,Medium,Negative,subscription_price_increase,101.65,66380.34,183.06,707.31,94454.46,7.34,44.03,3.38,0.19,-0.12,Subscription Price Increase (-12%),133.54,4,1,8630,72.15,2.76,0,2
2017-01-01,2017,1,1,Winter,Bob,Subscription,East,Basic,Medium,Neutral,none,103.24,57710.22,184.46,683.73,130222.64,6.73,38.42,3.21,0.13,0.0,,190.46,2,1,9940,71.55,-0.54,0,1
2016-09-01,2016,9,3,Fall,Alice,Subscription,East,Basic,Low,Neutral,none,96.37,57504.67,132.39,457.31,33818.14,7.35,35.63,2.83,0.25,0.0,,73.95,1,1,4576,70.63,0.17,0,1
2022-03-01,2022,3,1,Spring,Alice,Buyout,East,Standard,Medium,Neutral,new_product_launch,111.05,64969.76,178.47,643.04,1060938.62,6.08,43.09,3.58,0.27,0.08,New Product Launch (+15%),1649.87,1,2,7023,70.64,-0.76,1,1
2020-07-01,2020,7,3,Summer,David,Buyout,South,Premium,Medium,Negative,pandemic_impact,105.67,57699.37,207.74,736.11,771221.16,8.29,56.46,3.09,0.3,-0.17,Pandemic Impact (-35%),1047.7,4,3,6237,76.07,1.24,1,3
2019-09-01,2019,9,3,Fall,Eve,Buyout,West,Standard,High,Neutral,none,101.9,58789.12,202.22,945.19,1216819.63,7.1,47.15,3.19,0.41,0.0,,1287.38,5,2,8281,70.38,0.5,1,4
2015-08-01,2015,8,3,Summer,David,Buyout,West,Standard,Medium,Neutral,none,99.02,56615.71,182.36,850.07,1085306.73,8.47,43.31,3.52,0.33,0.0,,1276.73,4,2,6577,71.91,-0.07,1,4
2019-12-01,2019,12,4,Winter,Bob,Subscription,West,Standard,Medium,Neutral,none,105.61,47208.93,162.45,644.44,108677.98,6.36,39.18,3.06,0.36,0.0,,168.64,2,2,5867,69.21,0.81,0,4
2020-03-01,2020,3,1,Spring,Bob,Buyout,West,Standard,Low,Negative,pandemic_impact,113.32,58409.77,157.67,397.02,657689.91,7.33,38.61,2.8,0.19,-0.35,Pandemic Impact (-35%),1656.56,2,2,5236,71.86,0.95,1,4
2018-05-01,2018,5,2,Spring,Alice,Buyout,East,Standard,Medium,Neutral,buyout_discount_campaign,105.28,66511.57,202.58,742.84,935377.68,6.09,41.26,3.03,0.39,0.09,Buyout Discount Campaign (+18%),1259.19,1,2,2367,74.99,-1.17,1,1
2017-03-01,2017,3,1,Spring,Alice,Subscription,South,Standard,Low,Neutral,subscription_platform_upgrade,107.29,50746.12,141.8,503.62,45511.84,7.8,46.89,2.66,0.3,0.05,Subscription Platform Upgrade (+10%),90.37,1,2,6499,68.64,0.46,0,3
2024-12-01,2024,12,4,Winter,Alice,Subscription,South,Standard,Medium,Neutral,none,110.45,69452.17,185.32,663.43,124346.39,7.12,44.44,3.99,0.33,0.0,,187.43,1,2,2089,69.14,0.36,0,3
2023-07-01,2023,7,3,Summer,Eve,Subscription,East,Premium,High,Neutral,none,109.11,84066.06,206.13,1000.0,81380.0,8.49,59.39,4.02,0.36,0.0,,81.38,5,3,6858,76.51,0.01,0,1
2020-05-01,2020,5,2,Spring,Alice,Buyout,South,Basic,Low,Negative,pandemic_impact,109.39,73827.69,193.01,474.59,793611.73,7.59,45.38,2.96,0.05,-0.26,Pandemic Impact (-35%),1672.21,1,1,5599,70.4,0.01,1,3
2021-05-01,2021,5,2,Spring,Charlie,Buyout,East,Premium,Medium,Neutral,none,112.1,73528.49,219.01,880.38,924368.16,7.18,51.63,2.77,0.42,0.0,,1049.96,3,3,7309,74.55,0.81,1,1
2016-12-01,2016,12,4,Winter,Bob,Subscription,West,Premium,Medium,Neutral,award_recognition,100.25,38749.74,156.79,652.77,117961.33,8.66,29.03,3.02,0.42,0.06,Award Recognition (+12%),180.71,2,3,7245,70.57,-1.42,0,4
2019-01-01,2019,1,1,Winter,David,Buyout,East,Standard,Low,Negative,east_region_disruption,108.67,50969.15,185.08,582.66,1049242.86,8.41,46.94,3.69,0.13,-0.33,East Region Disruption (-18%),1800.79,4,2,2268,69.72,-0.49,1,1
2019-10-01,2019,10,4,Fall,Eve,Buyout,West,Standard,Medium,Neutral,none,101.0,61397.11,184.77,875.49,1100565.42,8.69,46.99,3.63,0.45,0.0,,1257.08,5,2,3511,78.0,0.12,1,4
2024-05-01,2024,5,2,Spring,Bob,Subscription,West,Standard,Medium,Neutral,none,115.34,84070.92,171.12,677.15,125861.71,6.6,44.13,3.61,0.26,0.0,,185.87,2,2,4433,71.41,-0.53,0,4
2017-12-01,2017,12,4,Winter,Alice,Buyout,North,Standard,Low,Neutral,competitor_launch,103.16,45650.61,150.99,462.0,723397.85,6.84,33.9,3.89,0.25,-0.08,Competitor Launch (-15%),1565.79,1,2,9050,74.0,-0.08,1,2
2018-07-01,2018,7,3,Summer,David,Buyout,East,Standard,High,Neutral,none,102.08,69696.33,217.63,939.64,1808500.31,6.94,43.58,3.75,0.31,0.0,,1924.68,4,2,4804,71.64,-0.33,1,1
2022-05-01,2022,5,2,Spring,Alice,Buyout,North,Standard,Low,Neutral,none,114.52,78292.78,164.41,574.08,1098539.68,6.71,43.71,2.86,0.39,0.0,,1913.58,1,2,5782,71.44,1.06,1,2
2015-01-01,2015,1,1,Winter,Bob,Subscription,East,Basic,Medium,Neutral,none,102.26,43772.88,188.14,707.54,118287.21,5.81,33.92,2.74,0.22,0.0,,167.18,2,1,6560,75.78,0.01,0,1
2017-12-01,2017,12,4,Winter,Bob,Buyout,East,Basic,Low,Neutral,competitor_launch,102.3,49362.86,150.34,511.37,931063.09,6.44,39.67,3.29,0.25,-0.08,Competitor Launch (-15%),1820.74,2,1,7872,70.88,1.74,1,1
2017-09-01,2017,9,3,Fall,Eve,Buyout,North,Standard,Medium,Negative,competitor_launch,97.64,56112.82,198.33,825.58,1530878.04,8.92,47.8,3.07,0.34,-0.15,Competitor Launch (-15%),1854.3,5,2,3217,69.12,0.01,1,2
2019-03-01,2019,3,1,Spring,Eve,Subscription,North,Standard,High,Neutral,economic_downturn,109.57,64206.89,204.85,940.0,95992.8,7.44,41.58,2.98,0.31,-0.06,Economic Downturn (-20%),102.12,5,2,7467,71.16,1.1,0,2
2021-04-01,2021,4,2,Spring,Eve,Subscription,East,Basic,High,Neutral,none,112.61,70329.0,204.74,956.55,60874.7,7.27,53.62,3.35,0.25,0.0,,63.64,5,1,8848,72.17,0.57,0,1
2024-10-01,2024,10,4,Fall,David,Subscription,South,Premium,Medium,Neutral,none,113.23,64375.81,160.84,725.83,108221.19,7.87,52.3,4.07,0.31,0.0,,149.1,4,3,5252,70.58,1.44,0,3
2022-06-01,2022,6,2,Summer,Bob,Buyout,West,Standard,Medium,Neutral,none,108.67,72994.11,169.11,637.66,836752.26,7.21,43.67,3.22,0.28,0.0,,1312.23,2,2,2893,70.05,-0.31,1,4
2017-05-01,2017,5,2,Spring,Bob,Buyout,North,Standard,Medium,Neutral,none,104.94,60312.24,171.24,682.33,737348.35,7.8,31.45,3.64,0.28,0.0,,1080.64,2,2,4129,68.22,0.23,1,2
2022-05-01,2022,5,2,Spring,David,Subscription,West,Basic,Medium,Negative,subscription_churn_crisis,112.23,67079.41,192.22,695.82,37142.94,7.38,56.95,3.66,0.13,-0.16,Subscription Churn Crisis (-16%),53.38,4,1,9559,70.4,-1.3,0,4
2023-07-01,2023,7,3,Summer,Alice,Buyout,South,Premium,Medium,Neutral,none,109.01,71901.69,177.06,651.64,1282541.64,8.53,46.18,3.61,0.45,0.0,,1968.18,1,3,1883,68.0,-1.43,1,3
2023-10-01,2023,10,4,Fall,Charlie,Buyout,South,Standard,Medium,Positive,partnership_deal,107.01,57697.21,187.51,860.93,1361870.0,6.45,57.76,4.41,0.36,0.12,Partnership Deal (+18%),1581.86,3,2,6826,69.09,0.86,1,3
2021-10-01,2021,10,4,Fall,Bob,Buyout,South,Basic,Medium,Neutral,buyout_premium_tier,105.23,55508.94,160.81,688.42,773580.08,6.07,40.39,3.83,0.33,0.07,Buyout Premium Tier (+16%),1123.71,2,1,6351,74.35,-0.73,1,3
2021-05-01,2021,5,2,Spring,Alice,Buyout,North,Standard,Medium,Positive,north_region_investment,108.08,80087.41,159.63,693.0,1227040.75,6.65,55.83,3.85,0.42,0.13,North Region Investment (+20%),1770.61,1,2,6738,75.18,1.01,1,2
2018-07-01,2018,7,3,Summer,David,Buyout,South,Premium,High,Neutral,none,104.07,64687.31,214.97,998.94,1082646.06,9.12,59.15,3.41,0.45,0.0,,1083.79,4,3,4325,72.12,-0.04,1,3
2016-08-01,2016,8,3,Summer,Alice,Subscription,North,Basic,Low,Neutral,none,98.44,57895.84,135.98,418.54,68765.97,6.9,33.08,2.77,0.2,0.0,,164.3,1,1,5172,68.0,0.91,0,2
2018-02-01,2018,2,1,Winter,Alice,Subscription,South,Standard,Low,Neutral,competitor_launch,106.34,53635.47,143.98,428.73,65853.2,6.02,41.06,2.61,0.26,-0.04,Competitor Launch (-15%),153.6,1,2,4119,70.56,0.81,0,3
2015-09-01,2015,9,3,Fall,Charlie,Subscription,West,Standard,Medium,Neutral,none,90.46,56030.27,162.07,671.42,118519.08,8.43,31.16,3.76,0.26,0.0,,176.52,3,2,3701,75.43,-2.43,0,4
2015-10-01,2015,10,4,Fall,Bob,Subscription,West,Standard,Medium,Neutral,none,93.72,40865.22,163.89,640.28,117158.11,7.31,30.04,3.67,0.31,0.0,,182.98,2,2,4534,73.36,-0.29,0,4
2023-12-01,2023,12,4,Winter,Bob,Subscription,East,Standard,Medium,Neutral,partnership_deal,111.51,57190.32,185.51,757.35,151135.93,7.82,57.12,3.27,0.37,0.06,Partnership Deal (+18%),199.56,2,2,2708,68.46,-1.04,0,1
2020-11-01,2020,11,4,Fall,Charlie,Subscription,West,Standard,Medium,Positive,subscription_feature_launch,110.16,52840.87,169.67,767.62,65877.04,8.84,46.11,4.21,0.31,0.1,Subscription Feature Launch (+14%),85.82,3,2,7659,74.42,-3.12,0,4
2016-11-01,2016,11,4,Fall,Bob,Buyout,East,Premium,Medium,Positive,award_recognition,100.09,49039.72,162.68,673.82,1259415.63,7.21,28.62,3.66,0.45,0.12,Award Recognition (+12%),1869.07,2,3,5783,70.87,-0.67,1,1
2023-01-01,2023,1,1,Winter,David,Subscription,West,Premium,High,Neutral,none,110.88,66237.24,199.42,939.64,160856.65,9.29,55.18,3.4,0.37,0.0,,171.19,4,3,6353,70.12,-1.64,0,4
2023-10-01,2023,10,4,Fall,Alice,Buyout,North,Basic,Medium,Positive,partnership_deal,106.29,64631.03,188.76,743.82,1064066.39,6.19,44.77,4.03,0.35,0.12,Partnership Deal (+18%),1430.54,1,1,4378,72.98,-0.03,1,2
2017-07-01,2017,7,3,Summer,Charlie,Buyout,West,Standard,Medium,Positive,west_region_expansion,100.39,68903.52,158.52,770.32,817014.54,7.41,38.48,2.47,0.45,0.19,West Region Expansion (+25%),1060.62,3,2,9312,71.72,-0.76,1,4
2018-04-01,2018,4,2,Spring,Bob,Buyout,East,Premium,Medium,Positive,buyout_discount_campaign,109.34,63755.8,182.17,861.57,1174900.62,7.86,48.48,2.76,0.45,0.18,Buyout Discount Campaign (+18%),1363.67,2,3,6540,77.26,0.51,1,1
2017-11-01,2017,11,4,Fall,Alice,Buyout,East,Standard,Low,Neutral,competitor_launch,97.87,44050.83,150.89,528.51,633567.6,5.89,41.87,3.27,0.25,-0.1,Competitor Launch (-15%),1198.77,1,2,8193,74.11,0.09,1,1
2024-04-01,2024,4,2,Spring,David,Buyout,South,Basic,Medium,Neutral,none,117.56,82405.65,200.36,880.75,1019374.5,6.92,57.0,3.76,0.24,0.0,,1157.39,4,1,7584,71.78,0.91,1,3
2021-10-01,2021,10,4,Fall,Charlie,Subscription,North,Premium,Medium,Neutral,supply_shortage,103.23,60085.01,182.96,729.92,62773.12,7.74,53.29,3.81,0.4,-0.05,Supply Shortage (-18%),86.0,3,3,7690,73.89,0.86,0,2
2020-01-01,2020,1,1,Winter,David,Buyout,West,Standard,Medium,Neutral,enterprise_budget_cuts,107.79,49220.59,190.49,785.14,1438739.15,6.78,43.4,3.41,0.35,-0.1,Enterprise Budget Cuts (-20%),1832.47,4,2,8756,69.3,0.84,1,4
2017-02-01,2017,2,1,Winter,Bob,Subscription,South,Premium,Medium,Neutral,subscription_platform_upgrade,107.85,55556.97,173.19,739.25,137574.94,7.3,47.29,2.55,0.41,0.1,Subscription Platform Upgrade (+10%),186.1,2,3,1290,76.67,0.31,0,3
2021-06-01,2021,6,2,Summer,Alice,Buyout,West,Premium,Medium,Negative,supply_shortage,110.55,73067.09,200.83,598.03,953874.77,8.05,45.35,3.73,0.28,-0.18,Supply Shortage (-18%),1595.02,1,3,2056,73.16,-0.34,1,4
2022-02-01,2022,2,1,Winter,David,Buyout,West,Premium,High,Positive,new_product_launch,116.51,60648.32,190.43,972.65,1688021.41,8.04,49.41,4.11,0.45,0.11,New Product Launch (+15%),1735.49,4,3,5174,78.0,-0.49,1,4
2022-11-01,2022,11,4,Fall,Charlie,Buyout,South,Basic,Medium,Neutral,south_region_competition,109.15,61634.52,179.71,695.24,751619.71,6.03,45.6,4.03,0.27,-0.04,South Region Competition (-15%),1081.1,3,1,2360,69.81,-0.69,1,3
2021-02-01,2021,2,1,Winter,Charlie,Subscription,South,Premium,Medium,Neutral,none,112.34,59022.92,174.5,716.37,123967.06,8.43,42.59,3.35,0.34,0.0,,173.05,3,3,1050,68.0,-0.2,0,3
2024-08-01,2024,8,3,Summer,Eve,Buyout,South,Premium,High,Neutral,none,110.6,77064.59,219.95,1000.0,1943710.0,8.91,60.59,3.86,0.44,0.0,,1943.71,5,3,2039,71.31,0.88,1,3
2023-12-01,2023,12,4,Winter,Eve,Buyout,South,Standard,High,Neutral,partnership_deal,112.62,61833.32,198.99,1001.97,1658284.07,7.81,62.3,3.66,0.43,0.06,Partnership Deal (+18%),1655.02,5,2,3512,68.0,0.97,1,3
2022-07-01,2022,7,3,Summer,Eve,Buyout,South,Basic,High,Neutral,none,108.27,70399.12,206.52,988.78,1158622.34,6.14,53.85,3.33,0.28,0.0,,1171.77,5,1,3537,78.0,-1.53,1,3
2016-07-01,2016,7,3,Summer,Alice,Buyout,West,Standard,Low,Neutral,none,97.78,62139.83,159.98,506.56,627313.89,5.05,33.69,2.67,0.35,0.0,,1238.39,1,2,7128,71.81,0.19,1,4
2018-10-01,2018,10,4,Fall,Bob,Buyout,South,Standard,Medium,Neutral,none,99.18,57582.59,164.05,646.99,978340.44,6.49,32.03,3.53,0.39,0.0,,1512.14,2,2,8869,68.09,0.07,1,3
2019-08-01,2019,8,3,Summer,David,Subscription,North,Premium,Medium,Neutral,none,101.82,58581.19,177.73,800.61,97538.83,9.14,44.49,3.88,0.35,0.0,,121.83,4,3,7572,70.21,-1.05,0,2
2017-06-01,2017,6,2,Summer,Eve,Buyout,East,Standard,High,Neutral,none,107.88,67825.49,210.53,1000.0,1928580.0,8.47,52.85,2.86,0.43,0.0,,1928.58,5,2,7717,68.0,0.76,1,1
2022-07-01,2022,7,3,Summer,Eve,Subscription,South,Standard,High,Neutral,subscription_churn_crisis,108.6,70233.41,201.91,946.88,136927.87,7.06,60.0,4.33,0.25,-0.05,Subscription Churn Crisis (-16%),144.61,5,2,5152,69.17,1.93,0,3
2017-09-01,2017,9,3,Fall,Charlie,Buyout,South,Standard,Medium,Negative,competitor_launch,96.78,58462.51,185.98,658.73,752852.89,7.09,36.7,3.28,0.23,-0.15,Competitor Launch (-15%),1142.89,3,2,4695,76.97,-0.43,1,3
2019-01-01,2019,1,1,Winter,Eve,Subscription,West,Standard,Medium,Negative,economic_downturn,106.84,55766.32,196.27,779.2,62858.39,8.4,46.39,3.21,0.25,-0.15,Economic Downturn (-20%),80.67,5,2,6389,73.5,-0.04,0,4
2015-12-01,2015,12,4,Winter,David,Subscription,South,Standard,Medium,Neutral,none,99.02,38031.68,164.63,732.02,52332.31,7.73,51.67,3.38,0.27,0.0,,71.49,4,2,5811,73.74,0.53,0,3
2018-05-01,2018,5,2,Spring,David,Subscription,South,Premium,High,Neutral,none,111.35,77979.31,225.86,1000.0,181490.0,8.65,48.09,3.02,0.36,0.0,,181.49,4,3,7294,72.97,2.48,0,3
2019-10-01,2019,10,4,Fall,Alice,Subscription,South,Standard,Low,Neutral,none,100.87,58707.4,155.43,518.28,90974.34,6.99,45.94,3.91,0.34,0.0,,175.53,1,2,9115,72.05,0.9,0,3
2024-01-01,2024,1,1,Winter,Bob,Subscription,West,Premium,Medium,Neutral,partnership_deal,117.81,66437.14,182.49,797.64,101802.2,8.0,61.92,3.98,0.41,0.05,Partnership Deal (+18%),127.63,2,3,7983,68.0,-0.66,0,4
2018-08-01,2018,8,3,Summer,Charlie,Buyout,South,Basic,Medium,Neutral,none,99.42,64136.66,170.81,684.9,1023847.88,6.67,34.12,3.29,0.25,0.0,,1494.88,3,1,2686,72.87,-0.76,1,3
2022-12-01,2022,12,4,Winter,Charlie,Buyout,East,Basic,Medium,Neutral,none,111.02,61124.11,148.52,600.74,1131648.71,6.47,49.63,3.44,0.24,0.0,,1883.75,3,1,6171,78.0,0.0,1,1
2019-05-01,2019,5,2,Spring,Bob,Buyout,West,Basic,Medium,Positive,viral_marketing,110.08,63698.74,162.45,704.81,1350697.51,7.82,43.03,3.74,0.42,0.2,Viral Marketing (+20%),1916.39,2,1,5984,74.87,-0.08,1,4
2018-08-01,2018,8,3,Summer,David,Buyout,East,Basic,Medium,Neutral,none,99.03,61778.25,157.36,685.37,1269775.17,6.13,48.42,4.09,0.31,0.0,,1852.69,4,1,8004,73.13,0.77,1,1
2022-11-01,2022,11,4,Fall,David,Subscription,West,Standard,Medium,Neutral,none,106.72,58599.25,183.33,842.0,102386.66,7.14,60.65,4.1,0.26,0.0,,121.6,4,2,9404,71.29,0.0,0,4
2022-09-01,2022,9,3,Fall,Eve,Subscription,South,Basic,Medium,Negative,south_region_competition,108.82,63762.87,223.04,888.19,111974.1,7.02,52.6,3.65,0.18,-0.11,South Region Competition (-15%),126.07,5,1,7104,69.73,0.22,0,3
