Date,Salesperson,SaleType,Price,Discontinued
2018-08,Charlie,Buyout,1494.88,N/A
2022-12,Charlie,Buyout,1883.75,N/A
2019-05,Bob,Buyout,1916.39,N/A
2018-08,David,Buyout,1852.69,N/A
2022-11,David,Subscription,121.6,True
2022-09,Eve,Subscription,126.07,True
2015-09,Alice,Subscription,185.03,False
2016-01,David,Subscription,160.3,True
2021-10,David,Buyout,1119.66,N/A
2017-01,Bob,Subscription,131.02,False
2023-03,Eve,Buyout,1706.9,N/A
2019-09,David,Subscription,153.62,False
2023-11,Charlie,Subscription,151.58,False
2015-03,Eve,Subscription,193.47,False
2020-07,Eve,Buyout,1438.93,N/A
2022-10,Eve,Subscription,130.26,True
2018-05,Charlie,Subscription,97.88,False
2019-03,Eve,Buyout,1318.36,N/A
2016-03,Alice,Buyout,1150.3,N/A
2018-06,Alice,Subscription,177.57,False
2015-05,David,Buyout,1336.63,N/A
2020-10,David,Buyout,1085.92,N/A
2016-11,David,Subscription,165.72,False
2022-06,Alice,Buyout,1751.2,N/A
2015-05,Eve,Buyout,1241.63,N/A
2018-11,David,Buyout,1054.48,N/A
2019-03,Charlie,Subscription,65.36,False
2017-12,Eve,Buyout,1222.62,N/A
2020-11,Bob,Subscription,155.3,False
2016-05,Bob,Buyout,1308.57,N/A
2023-09,Bob,Subscription,86.93,True
2017-11,David,Subscription,186.84,True
2022-10,Eve,Subscription,131.26,False
2016-01,Alice,Subscription,71.13,True
2023-01,Alice,Buyout,1678.38,N/A
2024-11,Eve,Buyout,1169.52,N/A
2024-02,Eve,Buyout,1136.5,N/A
2019-10,Charlie,Subscription,176.47,False
2017-12,Bob,Buyout,1765.09,N/A
2023-08,Charlie,Subscription,155.71,True
2020-09,Bob,Subscription,84.42,False
2024-11,David,Buyout,1250.23,N/A
2019-10,Bob,Subscription,91.36,False
2022-07,David,Subscription,126.45,False
2019-05,Eve,Subscription,125.44,False
2019-01,Charlie,Buyout,1854.25,N/A
2023-09,Eve,Subscription,138.55,True
2019-09,Alice,Buyout,1505.55,N/A
2015-06,Charlie,Buyout,1819.72,N/A
2018-12,Eve,Subscription,78.61,True
2019-01,Eve,Subscription,53.79,False
2015-10,Alice,Buyout,1955.95,N/A
2018-12,David,Buyout,1773.45,N/A
2021-08,David,Buyout,1487.42,N/A
2015-07,Eve,Subscription,110.29,False
2020-09,Alice,Subscription,152.44,True
2023-08,David,Buyout,1905.2,N/A
2016-08,Eve,Buyout,1280.35,N/A
2019-09,Charlie,Subscription,149.68,True
2023-10,Eve,Subscription,96.73,True
2020-06,Eve,Buyout,1348.82,N/A
2019-08,David,Subscription,118.05,True
2019-08,Alice,Subscription,183.9,False
2019-12,Alice,Buyout,1927.98,N/A
2020-10,Charlie,Buyout,1429.95,N/A
2017-12,David,Subscription,137.29,False
2019-11,Alice,Buyout,1267.74,N/A
2019-05,David,Buyout,1034.19,N/A
2017-02,David,Buyout,1395.08,N/A
2024-01,Alice,Buyout,1167.91,N/A
2019-12,Eve,Subscription,158.46,False
2022-09,Bob,Buyout,1599.68,N/A
2015-08,David,Subscription,169.15,True
2019-09,David,Buyout,1542.17,N/A
2015-08,Bob,Buyout,1993.21,N/A
2016-12,David,Subscription,135.67,True
2021-08,Bob,Subscription,66.67,False
2022-11,David,Subscription,64.13,True
2021-10,Alice,Buyout,1802.53,N/A
2020-03,Charlie,Buyout,1454.16,N/A
2024-11,David,Subscription,193.28,False
2016-02,David,Subscription,157.02,False
2016-03,Eve,Subscription,187.46,False
2022-04,Charlie,Buyout,1400.99,N/A
2020-01,Bob,Subscription,147.29,True
2022-01,Charlie,Subscription,173.65,False
2019-07,Eve,Subscription,140.4,True
2020-03,Eve,Subscription,57.99,True
2020-09,Bob,Buyout,1151.89,N/A
2021-12,David,Buyout,1205.12,N/A
2019-05,Bob,Buyout,1338.09,N/A
2019-06,David,Subscription,72.38,False
2020-04,David,Buyout,1641.78,N/A
2018-10,David,Subscription,83.2,True
2020-09,Eve,Buyout,1385.39,N/A
2022-07,Charlie,Buyout,1096.33,N/A
2020-01,Alice,Subscription,107.98,True
2021-01,Eve,Buyout,1591.46,N/A
2020-08,Eve,Subscription,106.45,False
2021-10,Alice,Buyout,1863.56,N/A
2021-08,David,Buyout,1080.37,N/A
2018-08,Eve,Subscription,150.57,False
2019-08,Eve,Subscription,115.19,False
2020-09,David,Subscription,68.63,False
2016-01,Alice,Subscription,76.78,True
2017-03,Alice,Subscription,135.32,False
2024-11,Bob,Buyout,1004.57,N/A
2016-09,Alice,Buyout,1711.17,N/A
2016-12,Charlie,Buyout,1775.01,N/A
2023-07,Eve,Buyout,1897.55,N/A
2017-11,David,Subscription,64.57,False
2018-08,Eve,Buyout,1414.67,N/A
2018-12,David,Subscription,195.7,False
2024-10,Eve,Buyout,1851.02,N/A
2020-01,Eve,Subscription,126.07,True
2024-06,Bob,Buyout,1145.91,N/A
2018-10,Alice,Buyout,1491.23,N/A
2019-02,Alice,Subscription,126.55,False
2024-04,Eve,Subscription,126.7,True
2020-01,David,Buyout,1162.2,N/A
2017-11,Eve,Subscription,122.32,False
2020-11,Alice,Buyout,1736.57,N/A
2021-07,Eve,Subscription,98.68,True
2019-09,David,Subscription,51.36,True
2016-02,Bob,Buyout,1007.66,N/A
2022-04,David,Buyout,1310.48,N/A
2019-11,Alice,Buyout,1400.46,N/A
2016-09,Charlie,Buyout,1696.25,N/A
2020-10,Eve,Buyout,1504.39,N/A
2019-05,Alice,Subscription,130.92,True
2020-12,David,Buyout,1058.62,N/A
2018-03,Alice,Buyout,1288.51,N/A
2016-05,Alice,Buyout,1759.23,N/A
2022-10,Alice,Subscription,134.55,True
2019-08,Alice,Subscription,114.48,False
2024-01,Charlie,Buyout,1576.23,N/A
2020-07,Eve,Buyout,1410.28,N/A
2024-05,David,Subscription,179.73,False
2019-09,Alice,Buyout,1575.49,N/A
2019-09,Eve,Buyout,1758.32,N/A
2016-07,Eve,Subscription,56.38,True
2022-09,Charlie,Subscription,85.0,True
2015-03,Alice,Buyout,1332.78,N/A
2023-09,Alice,Buyout,1071.49,N/A
2021-06,David,Subscription,144.5,True
2022-04,Alice,Subscription,165.38,True
2021-05,Alice,Buyout,1359.61,N/A
2016-02,Eve,Subscription,184.45,False
2017-06,Alice,Buyout,1802.36,N/A
2021-07,David,Subscription,57.56,False
2016-10,Bob,Buyout,1776.12,N/A
2021-07,Alice,Subscription,152.45,False
2018-12,Alice,Buyout,1405.13,N/A
2020-07,David,Subscription,193.18,True
2024-11,Eve,Subscription,192.64,True
2021-07,Alice,Subscription,90.21,False
2018-09,Charlie,Buyout,1042.51,N/A
2020-12,David,Subscription,198.87,True
2024-08,Alice,Buyout,1806.45,N/A
2016-11,Eve,Buyout,1271.61,N/A
2016-12,David,Buyout,1394.23,N/A
2017-08,Eve,Subscription,148.11,False
2017-09,David,Subscription,167.85,True
2015-11,David,Subscription,139.79,False
2023-02,Alice,Buyout,1312.82,N/A
2021-03,Charlie,Buyout,1583.5,N/A
2022-12,Bob,Subscription,98.67,True
2015-05,Eve,Buyout,1525.61,N/A
2024-12,David,Buyout,1460.03,N/A
2015-08,Charlie,Subscription,89.13,True
2016-04,Bob,Buyout,1042.6,N/A
2015-08,David,Buyout,1564.83,N/A
2015-01,Bob,Buyout,1992.72,N/A
2016-07,Bob,Buyout,1905.7,N/A
2020-12,Alice,Buyout,1698.96,N/A
2018-04,Alice,Buyout,1468.75,N/A
2023-05,Bob,Subscription,165.28,False
2020-07,David,Buyout,1148.98,N/A
2018-03,Eve,Subscription,104.45,True
2019-07,Alice,Buyout,1945.59,N/A
2018-09,Bob,Subscription,188.62,True
2024-09,David,Buyout,1827.37,N/A
2016-12,Bob,Subscription,154.36,False
2018-09,Charlie,Subscription,57.82,False
2016-01,Bob,Buyout,1032.1,N/A
2016-06,Alice,Buyout,1220.75,N/A
2020-10,Bob,Subscription,168.13,False
2018-09,Eve,Subscription,73.0,False
2023-07,David,Buyout,1124.16,N/A
2024-12,David,Buyout,1921.65,N/A
2024-02,Eve,Buyout,1444.45,N/A
2024-12,Alice,Subscription,136.51,False
2015-04,Eve,Buyout,1020.88,N/A
2020-09,Alice,Buyout,1107.11,N/A
2018-01,David,Buyout,1293.29,N/A
2022-03,Charlie,Subscription,185.06,False
2019-06,Charlie,Subscription,120.59,True
2018-03,Charlie,Buyout,1347.1,N/A
2018-03,Charlie,Subscription,108.59,True
2017-03,Bob,Buyout,1809.97,N/A
2021-09,Charlie,Subscription,79.54,True
2020-11,Alice,Buyout,1615.43,N/A
2018-07,David,Buyout,1510.89,N/A
2022-11,Eve,Buyout,1877.48,N/A
2021-01,Eve,Subscription,58.08,True
2016-02,Bob,Subscription,183.87,True
2024-12,Charlie,Subscription,94.95,True
2016-04,Bob,Subscription,68.86,True
2021-05,Alice,Buyout,1001.58,N/A
2020-06,Alice,Subscription,131.65,True
2023-07,David,Subscription,154.08,False
2017-07,Bob,Buyout,1961.19,N/A
2022-05,David,Subscription,100.04,True
2020-08,Charlie,Subscription,153.57,True
2016-04,Charlie,Buyout,1714.13,N/A
2019-04,Bob,Buyout,1222.61,N/A
2021-06,Eve,Buyout,1317.34,N/A
2021-01,Bob,Subscription,111.68,False
2017-01,David,Buyout,1979.23,N/A
2021-01,Eve,Subscription,98.52,True
2021-03,David,Buyout,1259.51,N/A
2024-02,Alice,Buyout,1514.32,N/A
2017-06,Eve,Buyout,1758.58,N/A
2024-05,David,Subscription,69.75,False
2017-10,David,Subscription,114.74,True
2016-09,Eve,Subscription,96.55,False
2015-07,Eve,Subscription,108.39,False
2019-08,Eve,Buyout,1250.33,N/A
2024-12,Bob,Subscription,82.52,False
2022-01,Alice,Subscription,108.86,False
2024-06,Bob,Subscription,187.15,False
2017-11,Eve,Buyout,1375.41,N/A
2023-12,Charlie,Subscription,81.75,True
2015-04,Charlie,Buyout,1616.05,N/A
2024-11,Bob,Subscription,97.06,True
2019-08,Eve,Subscription,60.17,False
2021-09,David,Subscription,99.3,True
2016-12,Charlie,Buyout,1876.09,N/A
2022-11,Bob,Subscription,189.75,False
2021-12,Alice,Buyout,1341.87,N/A
2018-03,Charlie,Subscription,52.94,True
2020-09,Alice,Buyout,1864.85,N/A
2022-08,Alice,Subscription,76.8,False
2023-11,Eve,Buyout,1441.13,N/A
2023-02,David,Subscription,116.2,False
2023-09,Eve,Subscription,136.56,True
2021-01,Bob,Subscription,185.17,True
2018-12,Eve,Subscription,109.85,False
2020-10,Bob,Buyout,1080.86,N/A
2017-09,Charlie,Subscription,117.67,False
2016-01,Bob,Subscription,150.82,False
2019-02,Charlie,Buyout,1675.31,N/A
2023-02,Bob,Buyout,1759.44,N/A
2015-01,Eve,Subscription,104.5,True
2017-04,Charlie,Buyout,1215.67,N/A
2020-07,David,Buyout,1472.51,N/A
2015-02,Bob,Buyout,1783.43,N/A
2022-10,David,Buyout,1426.23,N/A
2015-02,Charlie,Buyout,1467.93,N/A
2018-10,David,Buyout,1948.87,N/A
2015-09,Bob,Buyout,1847.14,N/A
2024-05,Eve,Subscription,178.78,False
2018-05,Alice,Buyout,1036.17,N/A
2016-08,David,Buyout,1757.4,N/A
2020-08,David,Subscription,172.22,False
2023-08,Charlie,Subscription,85.44,True
2015-10,Bob,Buyout,1883.53,N/A
2022-08,Eve,Buyout,1990.23,N/A
2020-01,Bob,Buyout,1406.15,N/A
2021-02,Bob,Buyout,1251.57,N/A
2024-08,Eve,Buyout,1734.36,N/A
2020-04,Eve,Subscription,111.17,True
2017-08,David,Buyout,1115.9,N/A
2018-01,Bob,Buyout,1192.22,N/A
2018-10,Alice,Subscription,175.9,False
2024-01,Alice,Subscription,170.32,False
2022-05,David,Buyout,1084.53,N/A
2020-03,Eve,Subscription,63.94,True
2017-08,Alice,Subscription,184.77,True
2024-02,Alice,Subscription,71.0,False
2022-11,Alice,Buyout,1021.51,N/A
2024-10,Eve,Buyout,1156.46,N/A
2022-11,David,Buyout,1270.75,N/A
2018-10,Alice,Subscription,105.59,True
2022-11,Charlie,Subscription,123.24,False
2015-03,Charlie,Subscription,122.66,True
2019-06,Eve,Subscription,133.27,False
2020-05,Eve,Buyout,1670.5,N/A
2020-08,David,Subscription,92.8,True
2017-09,Alice,Subscription,126.46,False
2023-11,Eve,Buyout,1685.22,N/A
2021-07,Charlie,Buyout,1456.02,N/A
2023-02,Charlie,Subscription,72.95,True
2022-12,Alice,Subscription,83.79,True
2019-05,Bob,Subscription,126.18,False
2023-08,David,Buyout,1019.15,N/A
2023-06,Alice,Subscription,50.93,True
2020-03,Bob,Buyout,1115.06,N/A
2021-09,David,Subscription,68.69,False
2024-09,Alice,Buyout,1579.72,N/A
2019-04,Alice,Subscription,129.27,False
2017-12,Bob,Buyout,1064.0,N/A
2015-12,David,Subscription,61.98,True
2023-06,David,Subscription,72.45,True
2017-09,Bob,Subscription,115.55,False
2019-10,Bob,Subscription,168.93,True
2018-08,Eve,Buyout,1577.8,N/A
2020-11,Bob,Subscription,71.84,False
2016-07,Bob,Subscription,87.7,False
2022-08,Eve,Subscription,109.33,False
2017-05,Charlie,Buyout,1980.48,N/A
2024-08,Alice,Subscription,188.9,True
2021-05,David,Subscription,94.51,True
2023-01,David,Buyout,1099.35,N/A
2022-12,Eve,Buyout,1537.52,N/A
2016-06,Alice,Subscription,191.23,True
2020-01,Eve,Buyout,1380.96,N/A
2015-09,Bob,Subscription,101.06,False
2022-07,Alice,Buyout,1084.82,N/A
2022-12,Charlie,Subscription,51.55,False
2023-03,Eve,Buyout,1850.34,N/A
2016-03,Eve,Buyout,1491.55,N/A
2023-03,David,Subscription,176.25,True
2019-11,Alice,Buyout,1110.09,N/A
2018-06,Charlie,Subscription,154.36,False
2015-10,David,Subscription,64.65,False
2024-06,Eve,Subscription,95.59,False
2021-05,Eve,Buyout,1598.32,N/A
2024-12,Alice,Subscription,153.29,True
2019-09,David,Buyout,1078.06,N/A
2016-01,Bob,Buyout,1034.19,N/A
2015-10,Charlie,Buyout,1225.57,N/A
2017-01,Eve,Buyout,1630.77,N/A
2022-07,Charlie,Subscription,180.35,False
2020-10,Bob,Buyout,1186.65,N/A
2015-02,Bob,Buyout,1260.54,N/A
2017-02,Charlie,Buyout,1724.97,N/A
2019-04,David,Buyout,1474.59,N/A
2024-04,Charlie,Buyout,1474.25,N/A
2022-08,Eve,Subscription,53.85,True
2016-10,Alice,Subscription,191.7,True
2019-12,Eve,Buyout,1053.23,N/A
2019-08,David,Buyout,1269.74,N/A
2024-12,David,Subscription,163.0,True
2018-07,Alice,Buyout,1919.07,N/A
2017-04,David,Subscription,77.71,True
2024-09,Bob,Buyout,1530.56,N/A
2017-10,Alice,Buyout,1357.74,N/A
2015-11,Bob,Subscription,131.12,True
2022-09,Alice,Buyout,1277.78,N/A
2022-05,Charlie,Subscription,151.97,True
2020-01,Alice,Subscription,55.64,True
2016-08,Charlie,Buyout,1807.48,N/A
2017-06,Alice,Buyout,1815.7,N/A
2024-06,Eve,Subscription,180.62,True
2020-05,David,Buyout,1509.01,N/A
2016-07,Alice,Buyout,1656.41,N/A
2018-11,Alice,Buyout,1912.11,N/A
2024-12,David,Buyout,1368.9,N/A
2024-05,Alice,Buyout,1717.99,N/A
2018-03,David,Buyout,1617.91,N/A
2022-01,Bob,Buyout,1863.17,N/A
2021-03,Alice,Buyout,1240.07,N/A
2022-07,David,Subscription,108.95,True
2020-10,Eve,Buyout,1320.48,N/A
2017-05,Bob,Buyout,1100.24,N/A
2015-04,Bob,Subscription,56.68,False
2015-07,David,Buyout,1008.42,N/A
2022-05,Charlie,Subscription,53.24,False
2016-01,David,Buyout,1241.81,N/A
2015-08,Bob,Buyout,1711.29,N/A
2017-05,David,Buyout,1758.72,N/A
2015-02,Bob,Buyout,1186.43,N/A
2022-09,Alice,Buyout,1727.35,N/A
2019-06,Alice,Subscription,172.02,False
2022-10,David,Buyout,1413.84,N/A
2019-04,Bob,Buyout,1857.2,N/A
2020-04,Alice,Buyout,1546.54,N/A
2022-06,Eve,Buyout,1208.54,N/A
2024-03,Charlie,Subscription,156.27,False
2023-02,Bob,Buyout,1241.34,N/A
2021-07,Eve,Subscription,187.8,True
2016-01,Bob,Subscription,174.57,True
2017-10,Bob,Subscription,145.8,False
2024-06,David,Subscription,56.57,False
2018-07,Eve,Buyout,1482.55,N/A
2017-02,Bob,Buyout,1590.56,N/A
2016-03,Bob,Subscription,144.72,False
2020-06,Bob,Subscription,192.58,True
2024-09,Eve,Buyout,1128.18,N/A
2017-01,Bob,Buyout,1889.29,N/A
2018-02,Alice,Buyout,1583.15,N/A
2019-08,Charlie,Buyout,1739.68,N/A
2015-02,Bob,Buyout,1621.7,N/A
2020-07,David,Subscription,118.19,False
2015-11,David,Buyout,1872.14,N/A
2020-03,Eve,Subscription,181.18,True
2020-07,Bob,Buyout,1355.49,N/A
2024-10,Alice,Subscription,106.51,True
2022-10,Eve,Subscription,145.05,False
2021-02,Alice,Buyout,1820.73,N/A
2024-02,David,Buyout,1583.86,N/A
2021-04,Alice,Buyout,1394.42,N/A
2024-03,Bob,Buyout,1722.44,N/A
2016-03,Alice,Subscription,72.54,False
2019-03,David,Subscription,132.17,False
2021-05,Charlie,Buyout,1151.81,N/A
2017-07,Eve,Buyout,1488.86,N/A
2023-12,David,Subscription,193.31,True
2018-08,Alice,Subscription,116.96,True
2016-06,Bob,Buyout,1550.92,N/A
2018-01,Charlie,Subscription,164.62,True
2017-04,Eve,Subscription,149.21,True
2020-04,Eve,Subscription,95.32,False
2019-05,Charlie,Subscription,87.93,False
2021-03,Bob,Subscription,185.7,False
2021-02,David,Subscription,58.07,False
2017-11,Charlie,Subscription,95.28,False
2015-09,Charlie,Buyout,1148.01,N/A
2023-07,Alice,Subscription,185.66,False
2017-07,Eve,Buyout,1675.6,N/A
2016-12,David,Buyout,1874.65,N/A
2018-07,Bob,Buyout,1604.7,N/A
2017-12,Bob,Subscription,199.2,False
2016-01,David,Subscription,125.15,False
2018-02,Bob,Subscription,81.42,True
2018-10,Alice,Subscription,101.13,False
2016-12,Eve,Buyout,1030.73,N/A
2022-11,Eve,Buyout,1891.88,N/A
2016-09,David,Buyout,1498.45,N/A
2021-10,Eve,Buyout,1612.88,N/A
2024-06,Eve,Subscription,150.93,True
2017-05,Bob,Subscription,167.72,False
2015-01,Bob,Buyout,1612.76,N/A
2019-08,Bob,Subscription,67.75,False
2017-02,Charlie,Subscription,108.27,False
2015-11,Eve,Subscription,197.38,True
2023-12,Charlie,Buyout,1703.15,N/A
2023-09,Charlie,Subscription,119.54,True
2022-12,Eve,Subscription,62.66,False
2019-01,Eve,Buyout,1326.75,N/A
2017-06,Alice,Buyout,1805.03,N/A
2023-03,David,Subscription,179.87,True
2015-09,David,Subscription,118.97,True
2018-01,David,Buyout,1487.79,N/A
2023-01,Alice,Subscription,64.64,True
2019-02,Eve,Buyout,1583.23,N/A
2023-07,Alice,Buyout,1554.62,N/A
2016-05,Eve,Buyout,1057.43,N/A
2017-10,Eve,Subscription,89.23,False
2015-12,Charlie,Buyout,1242.83,N/A
2018-03,Bob,Subscription,78.99,True
2024-12,Eve,Subscription,139.0,True
2023-06,Bob,Buyout,1181.1,N/A
2020-07,Alice,Subscription,168.2,True
2022-11,Bob,Buyout,1721.67,N/A
2023-03,Eve,Subscription,168.02,False
2019-04,Bob,Subscription,95.58,True
2021-05,Eve,Subscription,100.94,False
2018-10,Alice,Subscription,155.35,True
2023-08,Charlie,Buyout,1302.29,N/A
2020-06,Bob,Buyout,1028.1,N/A
2022-02,David,Subscription,131.99,False
2016-03,Bob,Subscription,193.53,True
2017-04,David,Subscription,132.45,True
2018-04,Bob,Subscription,68.31,False
2016-10,David,Subscription,115.07,False
2024-06,Eve,Buyout,1574.64,N/A
2022-01,Alice,Buyout,1217.31,N/A
2017-06,Eve,Buyout,1555.76,N/A
2019-03,Bob,Buyout,1690.64,N/A
2022-08,Charlie,Buyout,1488.92,N/A
2017-02,Charlie,Subscription,66.28,False
2015-05,Bob,Subscription,130.08,True
2019-10,Bob,Buyout,1190.27,N/A
2022-10,Bob,Subscription,51.47,True
2018-04,Eve,Subscription,91.56,False
2019-05,Charlie,Buyout,1240.01,N/A
2017-03,Eve,Subscription,56.27,False
2024-07,Bob,Buyout,1512.1,N/A
2016-08,Bob,Buyout,1338.5,N/A
2016-08,Alice,Subscription,132.69,True
2022-02,Charlie,Subscription,198.88,False
2015-08,Alice,Subscription,54.03,False
2022-09,Eve,Buyout,1287.22,N/A
2024-08,Alice,Subscription,59.36,True
2015-12,Eve,Subscription,133.55,False
2023-07,David,Subscription,146.49,False
2020-12,Charlie,Buyout,1118.54,N/A
2022-09,Eve,Buyout,1111.46,N/A
2022-10,Alice,Subscription,102.51,True
2015-03,Eve,Subscription,120.78,True
2024-05,Bob,Subscription,139.99,False
2015-08,Charlie,Buyout,1237.38,N/A
2017-09,David,Subscription,70.38,True
2016-01,Charlie,Subscription,169.48,True
2015-03,Eve,Subscription,143.97,True
2015-10,Charlie,Buyout,1141.69,N/A
2023-09,Charlie,Subscription,66.79,False
2020-04,Alice,Subscription,155.27,True
2015-04,Charlie,Subscription,163.89,False
2021-06,Bob,Subscription,124.41,True
2022-06,Eve,Buyout,1687.63,N/A
2024-01,Eve,Subscription,123.16,True
2021-02,Eve,Subscription,55.97,False
2020-11,Alice,Buyout,1799.52,N/A
2019-08,Eve,Subscription,86.98,False
2020-12,Alice,Buyout,1476.73,N/A
2024-06,David,Buyout,1200.79,N/A
2020-09,Alice,Buyout,1338.77,N/A
2019-11,Eve,Buyout,1504.01,N/A
2020-12,David,Subscription,81.19,True
2017-02,Bob,Buyout,1721.87,N/A
2015-04,Alice,Subscription,92.38,False
2016-04,Charlie,Subscription,97.87,True
2021-04,David,Subscription,83.4,False
2018-06,Charlie,Subscription,59.93,True
2016-07,Eve,Subscription,184.93,False
2020-07,Eve,Subscription,166.49,False
2015-05,Alice,Subscription,133.98,True
2018-08,David,Subscription,55.21,True
2018-11,Alice,Subscription,187.47,False
2022-04,David,Subscription,58.46,False
2021-02,Bob,Buyout,1370.8,N/A
2020-08,Eve,Subscription,79.29,True
2018-04,David,Subscription,82.46,True
2017-05,Alice,Subscription,87.02,False
2018-03,Eve,Buyout,1711.18,N/A
2017-06,Bob,Subscription,180.17,False
2018-02,Alice,Subscription,105.19,True
2015-01,David,Subscription,194.15,True
2021-08,Alice,Buyout,1214.44,N/A
2017-09,Bob,Subscription,134.88,True
2021-08,David,Subscription,191.0,False
2019-10,Eve,Buyout,1340.01,N/A
2015-12,Eve,Buyout,1132.3,N/A
2017-09,Bob,Subscription,191.3,False
2015-05,Bob,Subscription,137.67,False
2023-12,Eve,Subscription,56.33,True
2024-04,Alice,Subscription,115.12,True
2016-12,David,Subscription,117.83,False
2015-12,David,Buyout,1412.13,N/A
2022-09,Eve,Subscription,195.55,True
2022-12,Alice,Buyout,1954.22,N/A
2024-04,Charlie,Buyout,1415.82,N/A
2015-10,David,Subscription,68.01,False
2018-12,Charlie,Subscription,110.55,True
2017-05,David,Subscription,144.76,True
2024-02,Bob,Subscription,74.57,True
2018-11,Eve,Buyout,1814.85,N/A
