Date,Salesperson,Region,Product_Category,Marketing_Spend,Lead_Generation,Sales_Volume,Revenue,Customer_Satisfaction,Training_Hours,Market_Competition,Price,Customer_Acquisition_Cost,Profit_Margin,Seasonal_Factor,Economic_Index,Digital_Marketing,Social_Media_Engagement,Website_Traffic,Conversion_Rate,Customer_Retention,Product_Quality_Score,Brand_Awareness,Competitor_Price,Market_Share
2015-01-03,Grace,East,Hardware,34373.6,173.0,117.0,93721.92,7.26,32.3,5.37,803.91,1541.95,0.145,1.02,100.33,10287.29,308.0,5731.0,0.129,0.862,8.02,6.36,858.6,0.159
2015-01-03,Ivy,East,Support,43996.17,226.0,150.0,30929.81,6.81,38.8,5.72,205.7,1386.15,0.463,0.94,102.52,10219.54,952.0,4739.0,0.141,0.755,7.83,6.44,213.11,0.151
2015-01-03,Grace,West,Hardware,68093.89,379.0,307.0,250897.61,8.51,41.5,5.97,816.74,1190.5,0.166,1.02,100.9,18481.83,2982.0,8021.0,0.151,0.84,7.75,6.61,833.36,0.194
2015-01-04,Charlie,Central,Hardware,38506.5,186.0,100.0,84722.2,8.7,45.4,5.79,847.22,1793.89,0.114,1.02,98.65,9202.75,1580.0,6264.0,0.115,0.835,7.84,6.44,845.74,0.17
2015-01-04,Jack,West,Support,40753.56,168.0,118.0,24595.94,8.26,61.7,6.07,207.81,1709.48,0.446,0.94,96.31,9394.29,1589.0,5988.0,0.142,0.856,8.03,6.71,182.1,0.147
2015-01-04,Eve,Central,Software,38838.29,145.0,100.0,53765.5,8.17,48.6,5.56,537.66,2000.0,0.203,0.85,98.69,9540.58,1597.0,5932.0,0.134,0.818,8.36,6.34,566.43,0.16
2015-01-04,Ivy,North,Support,38885.6,181.0,100.0,19376.77,7.93,46.1,5.26,193.77,1840.59,0.436,0.94,100.01,10609.29,2079.0,5317.0,0.117,0.832,7.56,6.61,201.74,0.158
2015-01-04,Frank,West,Support,38586.12,144.0,100.0,19000.8,6.54,36.8,5.09,190.01,1979.28,0.47,0.94,101.27,9089.66,1971.0,3720.0,0.136,0.823,8.09,6.35,185.04,0.155
2015-01-04,Eve,Central,Hardware,50779.59,221.0,187.0,160841.87,7.72,47.2,4.02,858.16,1529.84,0.11,1.02,102.62,11661.26,2165.0,6197.0,0.15,0.87,7.87,6.56,824.42,0.155
2015-01-04,Ivy,West,Software,20082.36,84.0,100.0,49256.98,8.01,51.5,5.85,492.57,1547.34,0.216,0.85,98.56,4379.76,948.0,1989.0,0.155,0.847,8.31,6.19,535.58,0.162
2015-01-04,Jack,East,Services,38682.26,152.0,100.0,36751.38,7.63,41.6,5.99,367.51,1688.42,0.308,0.77,97.7,10292.87,1236.0,4594.0,0.15,0.822,8.23,6.64,328.44,0.163
2015-01-04,Bob,Central,Software,38090.66,110.0,100.0,43695.87,8.19,48.6,5.81,436.96,2000.0,0.226,0.85,96.62,10769.54,1452.0,5814.0,0.126,0.795,7.76,6.54,451.82,0.17
2015-01-04,Bob,West,Services,30026.94,132.0,100.0,38069.73,8.55,45.8,5.45,380.7,1837.78,0.309,0.77,101.22,8618.56,1675.0,5378.0,0.124,0.936,8.27,6.26,376.04,0.154
2015-01-04,Eve,South,Software,32588.45,120.0,100.0,43603.14,8.33,46.5,5.89,436.03,1932.59,0.16,0.85,96.9,8754.0,1114.0,3357.0,0.141,0.954,8.35,6.28,464.11,0.135
2015-01-04,Frank,South,Services,34109.43,140.0,100.0,36248.61,7.62,43.4,5.68,362.49,1590.52,0.338,0.77,98.11,8335.14,1010.0,3858.0,0.153,0.923,8.23,6.47,367.53,0.153
2015-01-04,Henry,South,Support,47294.6,179.0,108.0,23742.17,6.24,54.7,4.86,219.2,2000.0,0.461,0.94,100.81,14082.04,2323.0,5549.0,0.116,0.85,8.1,6.44,235.43,0.145
2015-01-04,Alice,North,Software,47754.99,253.0,102.0,46951.25,9.02,47.6,5.6,461.96,1641.11,0.209,0.85,105.58,13190.42,1878.0,6681.0,0.115,0.815,7.62,6.59,478.52,0.14
2015-01-05,Frank,West,Services,39576.22,155.0,100.0,37211.31,7.56,48.6,4.33,372.11,1975.91,0.358,0.77,99.29,11572.04,790.0,4450.0,0.13,0.804,7.98,6.52,409.03,0.162
2015-01-05,Eve,North,Hardware,49414.41,228.0,141.0,111795.99,7.13,52.0,5.14,793.28,1586.3,0.149,1.02,103.51,12584.2,2028.0,7543.0,0.136,0.826,8.13,6.26,837.84,0.177
2015-01-05,Ivy,North,Services,47750.76,235.0,161.0,57194.72,8.39,53.7,5.47,354.18,1380.18,0.322,0.77,99.23,12182.4,1807.0,6566.0,0.147,0.857,8.35,6.82,323.44,0.173
2015-01-05,Ivy,West,Support,58104.54,263.0,193.0,36891.79,8.28,48.8,5.42,190.73,1463.01,0.484,0.94,101.9,16568.41,2620.0,2049.0,0.151,0.898,8.34,6.55,163.75,0.164
2015-01-05,Grace,North,Software,45384.82,204.0,131.0,62224.71,7.62,39.5,5.05,475.84,1602.44,0.24,0.85,102.49,11679.72,412.0,6768.0,0.139,0.852,8.0,6.95,517.94,0.175
2015-01-05,Ivy,West,Consulting,45909.51,188.0,100.0,128103.21,7.92,37.1,4.32,1281.03,1659.13,0.455,0.68,99.98,10195.41,1645.0,4343.0,0.147,0.851,8.26,6.04,1337.16,0.164
2015-01-05,Bob,Central,Support,36654.73,159.0,100.0,20694.15,7.75,45.5,6.09,206.94,1632.35,0.452,0.94,102.53,10628.71,2361.0,2659.0,0.141,0.906,7.77,5.97,209.59,0.154
2015-01-05,Charlie,North,Consulting,41978.36,223.0,100.0,132979.48,7.82,49.4,5.47,1329.79,1392.19,0.36,0.68,98.35,11545.68,576.0,2813.0,0.135,0.826,8.4,6.22,1320.59,0.19
2015-01-05,Ivy,South,Hardware,35671.41,152.0,103.0,93445.12,8.38,39.9,6.25,904.88,1578.23,0.107,1.02,99.74,7644.09,1344.0,5076.0,0.149,0.894,7.96,6.27,890.23,0.173
2015-01-06,Jack,West,Support,38395.84,160.0,100.0,20097.65,7.27,41.5,5.43,200.98,1830.34,0.423,0.94,102.22,9295.16,1568.0,3895.0,0.131,0.866,7.89,7.0,211.3,0.149
2015-01-06,Grace,Central,Support,43514.94,180.0,112.0,26172.83,8.99,43.1,5.46,234.72,1614.58,0.443,0.94,99.87,11223.56,1529.0,8692.0,0.15,0.838,8.44,6.67,249.78,0.154
2015-01-06,Henry,East,Hardware,44972.94,184.0,135.0,116028.44,7.29,38.8,6.66,858.3,1593.63,0.082,1.02,99.48,12621.88,2734.0,6719.0,0.153,0.81,8.32,6.96,846.38,0.147
2015-01-06,Diana,North,Support,38917.95,137.0,100.0,20469.21,7.22,44.0,5.0,204.69,2000.0,0.506,0.94,101.84,9329.85,2098.0,3039.0,0.129,0.818,8.43,6.67,184.92,0.166
2015-01-06,Eve,Central,Consulting,35201.83,109.0,100.0,127952.81,8.86,45.2,5.65,1279.53,2000.0,0.337,0.68,99.55,9432.79,1695.0,7060.0,0.155,0.812,8.46,5.34,1261.36,0.176
2015-01-06,Charlie,West,Support,53429.1,244.0,149.0,34030.96,8.36,51.0,5.91,228.04,1814.42,0.462,0.94,102.18,11399.64,1718.0,6069.0,0.121,0.856,7.96,7.33,180.74,0.154
2015-01-06,Jack,North,Consulting,32713.71,166.0,100.0,121144.87,7.8,57.1,5.06,1211.45,1406.51,0.353,0.68,99.94,9340.52,2065.0,4586.0,0.14,0.849,7.97,7.02,1226.96,0.161
2015-01-06,Jack,North,Support,37216.61,157.0,135.0,26647.85,7.92,49.8,5.67,197.34,1444.12,0.481,0.94,101.87,9358.97,1240.0,6191.0,0.164,0.888,7.98,6.43,244.36,0.146
2015-01-06,Diana,North,Hardware,48510.6,243.0,180.0,149086.54,7.85,52.5,5.06,830.08,1338.83,0.196,1.02,102.35,13848.63,1202.0,9030.0,0.149,0.793,7.91,7.07,840.77,0.168
2015-01-06,Jack,West,Services,53891.57,248.0,126.0,48637.64,7.51,58.6,5.27,386.25,1647.12,0.292,0.77,102.14,13584.69,1474.0,9849.0,0.132,0.884,8.21,6.08,452.13,0.158
2015-01-06,Henry,East,Support,33807.16,148.0,100.0,22530.0,7.58,61.1,5.88,225.3,1640.34,0.428,0.94,99.96,7878.05,1077.0,2426.0,0.139,0.834,7.98,5.79,173.51,0.162
2015-01-06,Jack,Central,Consulting,36086.26,140.0,100.0,129554.79,7.45,47.6,6.22,1295.55,1906.19,0.38,0.68,99.44,7989.43,315.0,4379.0,0.135,0.886,7.73,6.27,1301.29,0.17
2015-01-06,Diana,South,Software,41124.49,142.0,100.0,46874.72,8.08,43.7,5.95,468.75,2000.0,0.157,0.85,100.74,8961.44,1274.0,4409.0,0.137,0.849,8.32,6.67,476.22,0.154
2015-01-06,Eve,East,Software,50102.5,218.0,122.0,57876.71,8.38,42.6,6.75,474.81,1767.21,0.207,0.85,97.8,15023.83,2802.0,9589.0,0.13,0.859,8.45,7.43,477.76,0.179
2015-01-07,Frank,West,Support,37853.9,131.0,109.0,22907.98,7.5,45.5,4.89,210.03,1838.31,0.507,0.94,100.89,8267.5,1294.0,6172.0,0.157,0.872,8.01,6.03,216.77,0.14
2015-01-07,Henry,West,Hardware,49183.34,186.0,143.0,117717.34,7.32,41.6,5.71,824.88,1757.78,0.112,1.02,98.1,13189.79,1249.0,1438.0,0.15,0.848,7.39,6.07,854.08,0.159
2015-01-07,Jack,Central,Services,50523.38,176.0,100.0,37595.6,7.65,45.7,4.9,375.96,1783.84,0.373,0.77,103.83,12123.39,226.0,7069.0,0.161,0.829,7.96,6.21,357.27,0.163
2015-01-07,Diana,West,Hardware,45671.42,203.0,153.0,140349.27,7.59,44.5,7.0,919.97,1716.46,0.121,1.02,94.56,13477.31,3017.0,10133.0,0.131,0.813,7.62,6.59,899.53,0.158
2015-01-07,Ivy,West,Consulting,48061.28,198.0,136.0,170896.51,8.55,45.7,5.6,1253.84,1509.77,0.43,0.68,96.62,9957.74,2192.0,6707.0,0.161,0.855,8.1,6.42,1229.46,0.177
2015-01-07,Diana,East,Hardware,26395.21,113.0,100.0,78980.91,7.82,40.8,6.68,789.81,1699.5,0.05,1.02,96.32,7416.49,1261.0,1708.0,0.137,0.862,7.81,6.51,786.08,0.175
2015-01-07,Henry,East,Consulting,53309.43,241.0,107.0,144521.99,7.43,40.2,5.89,1344.78,1791.41,0.341,0.68,100.46,10862.14,145.0,5372.0,0.123,0.895,8.37,6.92,1244.39,0.171
2015-01-07,Frank,North,Consulting,35978.64,140.0,100.0,115951.56,7.52,43.4,5.45,1159.52,2000.0,0.342,0.68,101.48,9552.49,1222.0,7184.0,0.127,0.878,8.19,6.63,1125.55,0.17
2015-01-07,Bob,South,Support,42443.06,194.0,164.0,35158.22,8.13,57.8,6.06,213.8,1402.62,0.434,0.94,97.89,10770.16,440.0,4100.0,0.156,0.913,8.04,6.13,209.87,0.185
2015-01-08,Ivy,South,Consulting,44726.87,183.0,100.0,116836.39,7.89,38.6,5.67,1168.36,1942.51,0.336,0.68,101.42,12130.84,2250.0,8484.0,0.126,0.873,8.16,6.2,1200.68,0.16
2015-01-08,Eve,Central,Consulting,44303.29,199.0,107.0,127173.53,9.4,67.0,5.89,1192.36,1541.06,0.347,0.68,99.18,11291.35,824.0,4379.0,0.145,0.869,7.95,7.31,1147.32,0.163
2015-01-08,Charlie,West,Support,46376.41,220.0,149.0,28604.9,8.88,55.7,4.63,192.32,1277.9,0.529,0.94,101.45,13240.77,2200.0,5217.0,0.165,0.867,8.38,6.54,147.3,0.161
2015-01-08,Charlie,North,Support,59403.24,281.0,180.0,36114.51,7.9,35.9,5.59,200.54,1724.63,0.558,0.94,97.31,14643.01,2281.0,9218.0,0.122,0.943,7.43,7.19,188.91,0.16
2015-01-08,Grace,Central,Hardware,40800.44,219.0,179.0,165364.33,8.64,36.1,4.34,921.51,1295.3,0.101,1.02,98.98,11724.06,2906.0,3952.0,0.144,0.862,8.52,6.73,863.77,0.166
2015-01-08,Ivy,West,Hardware,44213.26,207.0,157.0,119999.58,8.59,62.6,5.24,766.38,1420.26,0.137,1.02,101.53,10172.71,543.0,4523.0,0.15,0.869,7.46,6.42,731.79,0.181
2015-01-08,Grace,West,Services,44267.05,187.0,121.0,44963.27,8.74,38.6,5.26,373.08,1598.31,0.332,0.77,102.45,10830.06,1889.0,4948.0,0.148,0.939,8.17,6.64,375.89,0.153
2015-01-08,Alice,North,Software,55595.17,373.0,258.0,128621.83,8.46,41.2,5.48,498.63,987.67,0.256,0.85,101.53,11494.66,1366.0,5088.0,0.151,0.838,9.15,6.43,483.89,0.173
2015-01-08,Frank,Central,Hardware,45955.34,156.0,121.0,97764.99,7.53,53.6,4.95,810.82,2000.0,0.099,1.02,101.54,12779.87,1076.0,6860.0,0.132,0.887,8.24,6.3,829.44,0.153
2015-01-08,Bob,Central,Software,51748.96,195.0,125.0,61929.1,8.04,47.3,5.62,497.39,1699.43,0.252,0.85,99.37,10839.7,1133.0,5358.0,0.156,0.851,8.2,6.03,499.99,0.157
2015-01-08,Grace,North,Software,46699.19,194.0,160.0,79078.52,8.32,32.4,5.37,494.44,1764.17,0.253,0.85,101.81,12558.47,1891.0,8535.0,0.136,0.89,8.25,6.86,507.78,0.161
2015-01-08,Henry,North,Consulting,39767.94,224.0,102.0,130438.92,7.39,53.2,5.53,1283.1,1407.02,0.33,0.68,98.51,11745.58,1116.0,6872.0,0.126,0.95,7.99,6.75,1245.22,0.156
2015-01-08,Frank,South,Consulting,31915.08,104.0,100.0,116191.7,7.52,53.4,5.74,1161.92,2000.0,0.322,0.68,99.36,6862.6,1368.0,2832.0,0.124,0.854,8.66,7.01,1204.84,0.154
2015-01-08,Grace,East,Hardware,58766.06,289.0,248.0,211209.25,8.76,53.7,5.38,853.27,1312.51,0.137,1.02,100.98,11769.22,2937.0,5398.0,0.155,0.931,8.03,6.43,899.0,0.175
2015-01-09,Bob,South,Software,29862.79,144.0,100.0,45080.76,7.72,52.1,5.59,450.81,1719.19,0.256,0.85,97.35,8687.95,1047.0,2771.0,0.121,0.871,8.3,6.7,445.24,0.165
2015-01-09,Jack,North,Hardware,38187.2,218.0,135.0,111950.83,7.23,34.8,6.22,827.92,1730.12,0.077,1.02,95.32,9799.15,1066.0,4311.0,0.101,0.827,7.43,6.01,873.95,0.174
2015-01-09,Ivy,North,Consulting,38346.7,165.0,100.0,122936.77,8.26,56.7,5.69,1229.37,1749.43,0.386,0.68,100.03,8646.63,1241.0,5650.0,0.133,0.88,8.09,6.28,1272.64,0.16
2015-01-09,Henry,Central,Services,56303.7,216.0,130.0,44706.84,7.63,40.6,5.08,343.39,1760.16,0.3,0.77,100.59,14931.52,1385.0,9111.0,0.148,0.809,7.76,7.13,341.77,0.161
2015-01-09,Henry,Central,Consulting,37224.2,176.0,100.0,135770.0,7.9,45.0,5.67,1357.7,1219.6,0.408,0.68,98.33,11040.53,1612.0,5181.0,0.173,0.795,8.98,6.19,1360.39,0.163
2015-01-09,Jack,Central,Hardware,34440.19,119.0,100.0,76931.06,8.0,37.3,4.45,769.31,1759.87,0.16,1.02,103.47,9640.73,1121.0,3514.0,0.165,0.895,7.81,6.79,764.36,0.162
2015-01-09,Grace,North,Support,56446.24,293.0,258.0,60953.86,8.4,47.4,5.57,235.85,1160.14,0.456,0.94,99.02,16785.92,1956.0,4268.0,0.166,0.897,8.31,7.06,229.72,0.163
2015-01-09,Bob,West,Services,46945.67,207.0,123.0,42560.22,8.27,54.9,5.68,346.88,1422.6,0.278,0.77,98.76,10608.67,1891.0,5614.0,0.159,0.828,8.77,6.18,341.96,0.174
2015-01-09,Eve,Central,Hardware,37884.65,166.0,100.0,80971.82,8.14,47.3,6.5,809.72,2000.0,0.087,1.02,99.39,8509.78,833.0,5849.0,0.107,0.79,7.88,6.14,788.55,0.168
2015-01-10,Jack,West,Software,58241.7,290.0,171.0,77007.56,8.54,53.4,6.14,450.64,1408.53,0.271,0.85,95.89,11681.5,1506.0,6239.0,0.143,0.926,8.2,6.3,437.71,0.17
2015-01-10,Henry,Central,Hardware,46842.13,87.0,100.0,82985.71,7.04,50.1,6.55,829.86,2000.0,0.105,1.02,100.1,12193.37,2463.0,3302.0,0.122,0.901,7.67,6.6,810.88,0.174
2015-01-10,Grace,Central,Software,42631.49,176.0,100.0,46918.92,8.51,34.8,5.29,469.19,1711.14,0.219,0.85,96.91,9009.42,1423.0,4741.0,0.141,0.908,8.29,6.78,513.9,0.176
2015-01-11,Henry,Central,Consulting,58089.09,172.0,100.0,123275.29,7.99,50.1,5.31,1232.75,1982.45,0.361,0.68,99.13,14987.42,2506.0,6887.0,0.171,0.873,8.55,6.69,1202.95,0.166
2015-01-11,Eve,West,Software,45769.85,225.0,132.0,60278.61,8.43,44.2,5.27,457.09,1537.53,0.261,0.85,100.93,10675.54,1332.0,4069.0,0.132,0.823,8.23,6.06,451.22,0.152
2015-01-11,Grace,Central,Hardware,39034.29,170.0,100.0,81598.03,8.14,37.7,5.53,815.98,2000.0,0.147,1.02,99.02,10948.85,1791.0,4622.0,0.112,0.832,7.7,6.68,884.84,0.166
2015-01-11,Jack,South,Hardware,36933.21,161.0,120.0,99253.44,7.33,48.2,5.45,828.81,1751.85,0.11,1.02,98.1,10160.56,862.0,5610.0,0.131,0.859,7.7,6.17,852.76,0.162
2015-01-11,Charlie,East,Services,49354.77,247.0,159.0,58114.99,7.71,42.7,4.54,365.4,1321.86,0.312,0.77,99.7,11051.1,2123.0,5494.0,0.151,0.865,7.79,6.87,384.67,0.168
2015-01-11,Frank,Central,Consulting,49444.84,152.0,100.0,121047.87,7.65,43.5,5.63,1210.48,2000.0,0.39,0.68,99.41,13386.6,1864.0,6966.0,0.127,0.847,8.29,6.28,1213.75,0.169
2015-01-11,Henry,East,Support,59360.72,266.0,138.0,27386.79,7.82,51.7,5.76,199.01,1767.97,0.488,0.94,98.49,13232.43,2781.0,6521.0,0.126,0.918,7.91,6.96,210.37,0.167
2015-01-11,Bob,East,Services,45954.1,220.0,133.0,48365.94,7.68,46.9,5.36,363.64,1629.89,0.308,0.77,100.18,11852.52,367.0,6360.0,0.128,0.98,8.54,6.42,366.31,0.156
2015-01-11,Diana,North,Software,48354.92,256.0,152.0,72046.11,7.84,56.8,4.64,475.52,1426.16,0.247,0.85,99.15,9777.51,1454.0,5470.0,0.133,0.848,9.09,7.15,457.09,0.17
2015-01-11,Charlie,East,Hardware,54026.35,290.0,228.0,183094.67,8.81,41.0,5.28,801.64,1134.13,0.112,1.02,99.78,12276.51,782.0,8632.0,0.164,0.817,8.69,7.3,807.27,0.154
2015-01-11,Grace,West,Hardware,50715.32,262.0,207.0,158480.27,8.77,38.8,5.48,766.11,1202.73,0.13,1.02,101.82,11643.38,1133.0,3744.0,0.161,0.95,8.13,7.16,773.3,0.167
2015-01-11,Henry,Central,Hardware,51028.0,191.0,127.0,108658.5,8.81,61.8,5.38,854.57,1689.1,0.094,1.02,100.86,12140.27,1717.0,6799.0,0.158,0.797,8.46,6.1,891.24,0.172
2015-01-11,Charlie,Central,Software,53999.81,227.0,129.0,59655.95,7.89,35.0,5.96,461.4,1705.14,0.218,0.85,99.46,13263.06,2054.0,7026.0,0.14,0.844,8.44,7.05,454.18,0.178
2015-01-11,Henry,East,Consulting,46997.82,212.0,100.0,119395.07,8.12,48.8,6.09,1193.95,1765.09,0.366,0.68,95.88,12791.86,1919.0,6354.0,0.126,0.98,8.31,7.07,1192.22,0.173
2015-01-12,Eve,North,Consulting,56303.82,277.0,161.0,214029.42,8.69,56.7,5.57,1327.04,1213.21,0.396,0.68,97.13,11266.28,942.0,8795.0,0.167,0.848,8.11,6.14,1316.29,0.168
2015-01-12,Frank,West,Support,42236.11,156.0,123.0,26151.95,7.84,59.9,4.79,211.81,1759.94,0.427,0.94,101.82,9679.02,1232.0,5081.0,0.154,0.929,7.87,6.24,214.44,0.156
2015-01-12,Eve,East,Software,51659.55,186.0,100.0,51883.83,8.1,59.8,5.81,518.84,2000.0,0.178,0.85,100.07,14029.63,1243.0,5032.0,0.138,0.817,8.09,7.05,536.63,0.173
2015-01-12,Ivy,South,Support,44654.67,182.0,104.0,23654.35,7.62,40.3,5.41,228.26,1841.0,0.468,0.94,100.33,9814.53,2746.0,7115.0,0.133,0.863,8.1,6.8,188.34,0.171
2015-01-12,Diana,North,Consulting,53506.07,205.0,101.0,129358.47,7.55,42.8,5.71,1274.66,1725.1,0.379,0.68,99.05,16043.18,2841.0,6496.0,0.151,0.734,8.22,6.53,1208.33,0.158
2015-01-12,Charlie,North,Software,51116.7,281.0,222.0,102558.09,7.99,38.6,5.31,461.66,1170.78,0.232,0.85,101.85,13478.9,2175.0,5421.0,0.155,0.835,8.12,6.35,476.96,0.165
2015-01-12,Jack,West,Consulting,32286.92,128.0,100.0,124415.92,8.2,43.2,5.5,1244.16,1947.95,0.383,0.68,97.54,7002.42,1049.0,3913.0,0.13,0.916,7.58,6.76,1264.47,0.163
2015-01-13,Diana,West,Services,33830.95,125.0,100.0,37913.46,7.27,41.8,5.39,379.13,1858.02,0.337,0.77,101.21,7142.97,1771.0,2498.0,0.146,0.852,8.11,6.41,390.09,0.162
2015-01-13,Alice,South,Services,44565.78,274.0,191.0,66620.93,8.34,31.9,4.69,349.41,999.3,0.362,0.77,102.1,10981.24,1676.0,4880.0,0.163,0.86,7.71,6.16,352.35,0.182
2015-01-13,Henry,North,Hardware,50801.76,158.0,132.0,112908.91,8.09,53.7,5.55,856.57,1867.23,0.143,1.02,99.57,12978.07,603.0,2725.0,0.172,0.874,8.08,7.1,884.06,0.157
2015-01-13,Diana,East,Software,53901.01,245.0,146.0,63814.51,8.86,64.5,5.88,436.04,1341.91,0.153,0.85,97.67,15492.41,1122.0,12346.0,0.164,0.814,8.78,6.4,418.64,0.169
2015-01-13,Frank,South,Software,36389.66,122.0,100.0,42863.48,7.28,50.1,5.15,428.63,2000.0,0.236,0.85,101.28,8844.15,1821.0,2100.0,0.148,0.795,7.93,6.6,448.87,0.152
2015-01-13,Grace,Central,Hardware,48816.59,220.0,154.0,118131.77,8.46,41.0,4.54,768.92,1732.96,0.074,1.02,97.25,11384.88,2079.0,5113.0,0.128,0.886,7.93,6.09,787.15,0.158
